//X Y Z R G B
6421
1.8432519435882568 -3.9345479011535645 4.9082112312316895 0 255 255
1.8771260976791382 -4.0649785995483398 4.7337369918823242 0 255 255
1.2539552450180054 -4.5990629196166992 4.9412078857421875 0 255 255
1.9101762771606445 -3.8940918445587158 4.9363207817077637 0 255 255
1.8969305753707886 -4.0180392265319824 4.7878928184509277 0 255 255
1.3269842863082886 -4.1402297019958496 4.7416458129882813 0 255 255
1.8421419858932495 -3.8767671585083008 5.0161132812500000 0 255 255
1.2309837341308594 -4.2518177032470703 4.6912217140197754 0 255 255
1.8710056543350220 -4.1865191459655762 4.7543430328369141 0 255 255
1.9225615262985229 -4.1459832191467285 4.7368993759155273 0 255 255
1.3774404525756836 -4.2683238983154297 4.7970604896545410 0 255 255
1.8222539424896240 -3.8931851387023926 5.0021910667419434 0 255 255
1.3118151426315308 -4.1937770843505859 4.7679042816162109 0 255 255
1.9884450435638428 -4.5238265991210938 5.0196981430053711 0 255 255
2.0297358036041260 -4.6828060150146484 5.2171120643615723 0 255 255
1.6033513545989990 -3.9330735206604004 4.9545998573303223 0 255 255
1.9438724517822266 -4.0280742645263672 4.7749533653259277 0 255 255
1.2450082302093506 -4.1504163742065430 4.7445869445800781 0 255 255
1.6763224601745605 -3.9474115371704102 4.9258189201354980 0 255 255
2.0326368808746338 -4.3289752006530762 4.9926390647888184 0 255 255
1.2732220888137817 -4.3127260208129883 4.6059064865112305 0 255 255
1.8912507295608521 -4.1160297393798828 4.7404766082763672 0 255 255
1.9998153448104858 -4.0131111145019531 4.7857532501220703 0 255 255
1.6645987033843994 -4.0177044868469238 4.9404468536376953 0 255 255
2.0263462066650391 -3.9966626167297363 4.8945021629333496 0 255 255
2.0291297435760498 -4.3969440460205078 5.0717854499816895 0 255 255
1.4355927705764771 -4.1412258148193359 4.7097272872924805 0 255 255
1.4148297309875488 -4.1029305458068848 4.7009153366088867 0 255 255
1.3938498497009277 -4.1390690803527832 4.7135815620422363 0 255 255
1.3967571258544922 -3.9934434890747070 4.8448491096496582 0 255 255
1.3121795654296875 -4.6106634140014648 4.9814295768737793 0 255 255
1.3225123882293701 -4.1989383697509766 4.7639355659484863 0 255 255
1.4462062120437622 -4.1378712654113770 4.7069773674011230 0 255 255
1.2299486398696899 -4.3219876289367676 4.8669257164001465 0 255 255
1.8175783157348633 -3.9766945838928223 4.5839877128601074 0 255 255
1.9009160995483398 -4.0013022422790527 4.4787869453430176 0 255 255
1.2485681772232056 -4.2417302131652832 4.7946252822875977 0 255 255
1.3189183473587036 -4.4090085029602051 4.9239377975463867 0 255 255
1.4326366186141968 -4.0219631195068359 4.7199597358703613 0 255 255
1.9275211095809937 -4.0157461166381836 4.9751052856445313 0 255 255
1.5248748064041138 -4.0113687515258789 4.8495469093322754 0 255 255
1.8581458330154419 -3.9740216732025146 4.8300790786743164 0 255 255
1.8902577161788940 -3.9840502738952637 4.8171930313110352 0 255 255
1.5889793634414673 -3.8960654735565186 4.9205579757690430 0 255 255
1.9739632606506348 -3.9602761268615723 4.4731554985046387 0 255 255
1.3664668798446655 -4.7796301841735840 5.3329863548278809 0 255 255
2.0381405353546143 -3.9503729343414307 5.0487780570983887 0 255 255
1.9429575204849243 -4.3678050041198730 4.4760046005249023 0 255 255
1.2235267162322998 -4.1662592887878418 4.7046861648559570 0 255 255
2.0176157951354980 -4.2394652366638184 4.8917737007141113 0 255 255
1.9861259460449219 -3.9417016506195068 4.9180092811584473 0 255 255
1.9349042177200317 -3.8509554862976074 5.0096721649169922 0 255 255
1.9649749994277954 -4.3990650177001953 4.8513126373291016 0 255 255
1.9554466009140015 -3.9452464580535889 4.6601343154907227 0 255 255
2.0230550765991211 -4.1579971313476563 4.8515424728393555 0 255 255
1.2224466800689697 -4.4487028121948242 4.9498515129089355 0 255 255
1.9683902263641357 -4.3803730010986328 4.9045963287353516 0 255 255
1.9982745647430420 -4.7138929367065430 5.0547623634338379 0 255 255
2.0415434837341309 -4.0763020515441895 5.1468253135681152 0 255 255
1.2567881345748901 -4.2462139129638672 4.7557997703552246 0 255 255
1.9585517644882202 -3.9675216674804688 4.5591220855712891 0 255 255
1.9250077009201050 -4.2133951187133789 4.9497771263122559 0 255 255
2.0235784053802490 -4.2821369171142578 4.9372320175170898 0 255 255
1.8107912540435791 -4.2767643928527832 5.2187347412109375 0 255 255
2.0741367340087891 -5.0341272354125977 5.5790333747863770 0 255 255
1.3437948226928711 -4.1423130035400391 4.7545838356018066 0 255 255
1.9094862937927246 -4.0235152244567871 4.3598551750183105 0 255 255
1.8464813232421875 -3.9067838191986084 5.0016722679138184 0 255 255
