//X Y Z R G B
22161
2.1496348381042480 -3.1981546878814697 1.9874852895736694 255 255 0
2.6211404800415039 -3.0692980289459229 2.3728005886077881 255 255 0
2.1846244335174561 -3.0602188110351563 1.8452135324478149 255 255 0
2.0976929664611816 -3.1669855117797852 2.0340497493743896 255 255 0
2.3377258777618408 -2.9631073474884033 2.4917218685150146 255 255 0
1.7548825740814209 -3.0748617649078369 1.8426102399826050 255 255 0
1.8910927772521973 -3.1006054878234863 1.8584827184677124 255 255 0
2.1688489913940430 -2.9382538795471191 2.4186604022979736 255 255 0
2.1301069259643555 -3.0069613456726074 2.3151347637176514 255 255 0
2.1357836723327637 -3.1522054672241211 2.0651829242706299 255 255 0
2.1195249557495117 -3.0421202182769775 2.2379965782165527 255 255 0
2.1160001754760742 -3.0129547119140625 2.2835748195648193 255 255 0
2.1097855567932129 -3.0941336154937744 2.1469297409057617 255 255 0
2.2014105319976807 -3.0211050510406494 2.3164224624633789 255 255 0
2.0320410728454590 -3.1132745742797852 2.0920932292938232 255 255 0
2.1366865634918213 -3.1534957885742188 1.9226673841476440 255 255 0
2.1669440269470215 -2.4117925167083740 3.2578163146972656 255 255 0
2.1714925765991211 -1.8592103719711304 2.9904284477233887 255 255 0
2.1533632278442383 -0.0594629906117916 1.8143875598907471 255 255 0
2.1410114765167236 -3.2199728488922119 1.9446744918823242 255 255 0
2.3319044113159180 -2.8166162967681885 2.6933863162994385 255 255 0
2.3394556045532227 -2.8225991725921631 2.6967325210571289 255 255 0
2.1210918426513672 -2.8421523571014404 2.5771927833557129 255 255 0
2.2369465827941895 -2.8760516643524170 2.5595991611480713 255 255 0
2.2381165027618408 -3.1302525997161865 1.8866243362426758 255 255 0
2.2939150333404541 -3.0982046127319336 2.2399771213531494 255 255 0
2.1629073619842529 -3.1566803455352783 2.0715818405151367 255 255 0
2.1423761844635010 -3.1917779445648193 1.9685347080230713 255 255 0
2.1677412986755371 -0.7684692740440369 2.3101727962493896 255 255 0
2.1753909587860107 -1.2132971286773682 2.5498092174530029 255 255 0
2.1641919612884521 -3.1670143604278564 1.9310288429260254 255 255 0
1.8664177656173706 -3.1359856128692627 1.8410589694976807 255 255 0
2.5877864360809326 -3.2232794761657715 2.1531481742858887 255 255 0
2.1398396492004395 -3.1990735530853271 1.9358515739440918 255 255 0
2.0557742118835449 -3.1700065135955811 2.0143089294433594 255 255 0
2.0815584659576416 -3.0255503654479980 1.8137587308883667 255 255 0
2.1392621994018555 -3.2083158493041992 1.9717628955841064 255 255 0
2.0777289867401123 -3.2038328647613525 1.9623028039932251 255 255 0
2.2222752571105957 -3.1993482112884521 2.0349216461181641 255 255 0
4.8615155220031738 -2.5543529987335205 3.3015069961547852 255 255 0
2.0438895225524902 -2.9438600540161133 2.3763973712921143 255 255 0
2.1253688335418701 -3.0762941837310791 2.1994719505310059 255 255 0
2.0388772487640381 -2.9935286045074463 2.3041534423828125 255 255 0
2.0857832431793213 -3.0723650455474854 2.1818876266479492 255 255 0
2.3467690944671631 -3.0624899864196777 2.3032498359680176 255 255 0
2.4353044033050537 -2.9582710266113281 2.5095722675323486 255 255 0
2.1015286445617676 -3.1456401348114014 1.8964517116546631 255 255 0
2.3731398582458496 -2.7927973270416260 2.7488868236541748 255 255 0
2.4212014675140381 -3.1611173152923584 2.1691031455993652 255 255 0
2.2471325397491455 -0.7594816088676453 0.6265920996665955 255 255 0
2.1548371315002441 -0.3321011066436768 2.0332314968109131 255 255 0
2.3219013214111328 -1.0913428068161011 2.6424961090087891 255 255 0
2.1205809116363525 -3.1123626232147217 2.1177017688751221 255 255 0
3.2261075973510742 -2.3070924282073975 3.7845985889434814 255 255 0
3.2847197055816650 -1.1251626014709473 2.9244084358215332 255 255 0
2.8706848621368408 -2.1945710182189941 3.4050149917602539 255 255 0
2.1411175727844238 -2.9658868312835693 2.3677701950073242 255 255 0
2.3628907203674316 -2.9595551490783691 2.4901621341705322 255 255 0
2.2252166271209717 -3.2226979732513428 1.9900735616683960 255 255 0
2.5076115131378174 -2.8737499713897705 2.6734979152679443 255 255 0
2.1040716171264648 -2.8792889118194580 2.5041141510009766 255 255 0
2.1955211162567139 -3.2268562316894531 1.9678318500518799 255 255 0
2.2663016319274902 -2.9002180099487305 2.5339961051940918 255 255 0
2.8426172733306885 -2.9803318977355957 2.6298677921295166 255 255 0
2.3219187259674072 -2.9202015399932861 2.5220282077789307 255 255 0
2.1486032009124756 -3.1135160923004150 2.1329836845397949 255 255 0
2.2166085243225098 -3.1704609394073486 2.0631773471832275 255 255 0
2.2155971527099609 -3.1747612953186035 2.0607247352600098 255 255 0
2.9356117248535156 -2.9744379520416260 2.6424396038055420 255 255 0
2.7204906940460205 -3.1683022975921631 2.2226998805999756 255 255 0
