//X Y Z R G B Original_cloud_index
50520
-0.4527272284030914 3.6185727119445801 -2.8407697677612305 255 0 255 0.000000
-0.6257922649383545 4.2001929283142090 -1.0119479894638062 255 0 255 0.000000
-3.4725422859191895 5.2967042922973633 -0.6978171467781067 255 0 255 0.000000
-1.3839032649993896 4.2953615188598633 -0.9127565622329712 255 0 255 0.000000
-0.5815006494522095 3.6907203197479248 -2.1578402519226074 255 0 255 0.000000
-1.3308901786804199 4.1616444587707520 -1.2350362539291382 255 0 255 0.000000
-0.7578815817832947 4.8350534439086914 -0.3154391050338745 255 0 255 0.000000
-1.2963033914566040 3.3205447196960449 -2.8657836914062500 255 0 255 0.000000
-0.9037567377090454 8.4217853546142578 -1.5058884620666504 255 0 255 0.000000
-2.5542712211608887 13.1059608459472656 0.7818290591239929 255 0 255 0.000000
-0.9966066479682922 7.5994496345520020 -0.2483913600444794 255 0 255 0.000000
-3.1592276096343994 6.0415887832641602 -1.2563961744308472 255 0 255 0.000000
-0.4925939738750458 4.8676896095275879 -2.3752868175506592 255 0 255 0.000000
-0.4765608012676239 4.4578495025634766 -3.4431462287902832 255 0 255 0.000000
-0.9537042379379272 3.3996396064758301 -2.8409419059753418 255 0 255 0.000000
-0.9308895468711853 3.5699269771575928 -2.9949476718902588 255 0 255 0.000000
-0.5451326966285706 3.4246454238891602 -2.6278781890869141 255 0 255 0.000000
-0.4014308452606201 4.2162404060363770 -3.2035276889801025 255 0 255 0.000000
-0.5283865928649902 3.2470662593841553 -2.4785015583038330 255 0 255 0.000000
-0.4063681960105896 4.3655576705932617 -2.9318618774414063 255 0 255 0.000000
-0.6497323513031006 3.0705428123474121 -2.5406532287597656 255 0 255 0.000000
-0.4896386265754700 4.5701308250427246 -3.1188163757324219 255 0 255 0.000000
-0.6333479881286621 4.6314864158630371 -3.2615170478820801 255 0 255 0.000000
-1.0954709053039551 3.6686251163482666 -2.9399554729461670 255 0 255 0.000000
-0.8808751702308655 3.4556298255920410 -2.9251213073730469 255 0 255 0.000000
-0.7242603302001953 3.4067070484161377 -2.6470115184783936 255 0 255 0.000000
-0.5183503031730652 3.3706417083740234 -2.6493473052978516 255 0 255 0.000000
-0.9698211550712585 3.4436995983123779 -2.9529368877410889 255 0 255 0.000000
-0.4297638237476349 3.1799728870391846 -2.5643265247344971 255 0 255 0.000000
-1.2212513685226440 3.8694634437561035 -3.3249802589416504 255 0 255 0.000000
-0.9910092353820801 3.4303689002990723 -2.8416798114776611 255 0 255 0.000000
-0.7097086310386658 3.3596856594085693 -2.7348337173461914 255 0 255 0.000000
-0.6145139932632446 2.8010511398315430 -2.1403639316558838 255 0 255 0.000000
-0.6754163503646851 3.0158171653747559 -2.2638988494873047 255 0 255 0.000000
-0.3594635128974915 3.9540264606475830 -2.8123617172241211 255 0 255 0.000000
-0.6367666125297546 3.5034866333007813 -2.8557448387145996 255 0 255 0.000000
-0.4619536399841309 4.8456320762634277 -2.8779740333557129 255 0 255 0.000000
-0.4996767640113831 2.6605060100555420 -1.9024946689605713 255 0 255 0.000000
-0.6982059478759766 3.4663009643554688 -2.8234531879425049 255 0 255 0.000000
-0.8614764213562012 3.2191174030303955 -2.5953435897827148 255 0 255 0.000000
-0.4143073558807373 4.1467938423156738 -3.1717433929443359 255 0 255 0.000000
-0.4825938940048218 4.7677087783813477 -2.1746871471405029 255 0 255 0.000000
-0.5714130401611328 2.1390340328216553 -1.2990502119064331 255 0 255 0.000000
-0.5029797554016113 2.1324753761291504 -1.2949838638305664 255 0 255 0.000000
-0.6129404902458191 2.3147232532501221 -1.5069583654403687 255 0 255 0.000000
-0.4848231077194214 4.4368290901184082 -1.9282132387161255 255 0 255 0.000000
-0.4814071953296661 2.1566109657287598 -1.3099492788314819 255 0 255 0.000000
-0.4894165098667145 2.1360020637512207 -1.2955089807510376 255 0 255 0.000000
-0.5186420083045959 2.1071481704711914 -1.2684656381607056 255 0 255 0.000000
-0.5274856686592102 2.1775572299957275 -1.2596077919006348 255 0 255 0.000000
-0.3908869624137878 4.3128476142883301 -3.1842534542083740 255 0 255 0.000000
-1.3165252208709717 5.6949529647827148 0.3939804434776306 255 0 255 0.000000
-2.3228914737701416 7.7958297729492188 0.5599254369735718 255 0 255 0.000000
-2.1591150760650635 4.4989147186279297 -0.6988462209701538 255 0 255 0.000000
-0.8247091174125671 5.8025817871093750 0.4803192317485809 255 0 255 0.000000
-2.7006809711456299 3.7434458732604980 -2.3478684425354004 255 0 255 0.000000
-1.4886306524276733 3.9233660697937012 -1.8382352590560913 255 0 255 0.000000
-0.7554122209548950 5.7403407096862793 0.5232361555099487 255 0 255 0.000000
-2.7383468151092529 9.7463588714599609 -1.7342396974563599 255 0 255 0.000000
-2.6911120414733887 9.4040622711181641 -1.5940314531326294 255 0 255 0.000000
-2.3774383068084717 10.1699571609497070 -2.0564601421356201 255 0 255 0.000000
-0.6663531661033630 4.2213144302368164 -1.1998589038848877 255 0 255 0.000000
-2.2682576179504395 4.6442594528198242 -0.5133313536643982 255 0 255 0.000000
-2.1592471599578857 4.2280817031860352 -1.2483803033828735 255 0 255 0.000000
-1.4154132604598999 4.2019848823547363 -1.0661371946334839 255 0 255 0.000000
-0.5525842308998108 4.9628901481628418 -1.5819157361984253 255 0 255 0.000000
-2.3825483322143555 4.4705481529235840 -0.9460356235504150 255 0 255 0.000000
