,bed,cabinet,table,chair,painting,shelf,rug,lamp,screen,apparel,clock,cushion
frame_id_0001.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
frame_id_0002.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
frame_id_0003.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
frame_id_0004.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
frame_id_0005.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
frame_id_0006.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
frame_id_0007.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
frame_id_0008.jpg,0.0,19.631692234104346,0.0,0.7328572892821756,0.0,0.0,0.0,0.0,0.0,79.63545047661349,0.0,0.0
frame_id_0009.jpg,0.0,1.484692817056151,0.0,7.080500044540784,0.0,0.0,0.0,0.0,0.0,91.43480713840307,0.0,0.0
frame_id_0010.jpg,0.0,0.03851418210690352,0.0,19.68311716014197,0.0,0.0,0.0,0.0,0.0,80.27836865775112,0.0,0.0
frame_id_0011.jpg,0.0,0.04553513471618048,0.0,14.749023901101562,0.0,0.0,0.0,0.0,0.0,85.20544096418226,0.0,0.0
frame_id_0012.jpg,0.0,0.020426593274275394,0.0,17.75232218113013,0.0,0.0,0.0,0.0,0.0,82.2272512255956,0.0,0.0
frame_id_0013.jpg,0.0,0.0,0.0,11.813867589302413,0.0,0.0,0.0,0.0,0.0,88.1861324106976,0.0,0.0
frame_id_0014.jpg,0.0,4.050058542923949,0.0,6.483498539032668,0.0,0.0,0.0,0.0,0.0,89.46644291804337,0.0,0.0
frame_id_0015.jpg,0.0,3.865125899215198,0.0,5.227171111700794,0.0,0.0,0.0,0.0,0.0,90.90770298908402,0.0,0.0
frame_id_0016.jpg,0.0,0.9049492712891334,0.0,2.649321288046533,0.0,0.0,0.0,0.0,0.0,96.44572944066432,0.0,0.0
frame_id_0017.jpg,0.0,0.5528487294322227,0.0,3.1851961218563902,0.0,0.0,0.0,0.0,0.0,96.26195514871138,0.0,0.0
frame_id_0018.jpg,0.0,0.0027782408179140967,0.0,0.37436795021392455,0.0,0.0,0.0,0.0,0.0,99.62285380896817,0.0,0.0
frame_id_0019.jpg,0.0,0.5871368834190895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.41286311658092,0.0,0.0
frame_id_0020.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
frame_id_0021.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
frame_id_0022.jpg,0.0,0.06790053905318778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.93209946094682,0.0,0.0
