//X Y Z R G B
7589
-4.5470781326293945 4.2796854972839355 -2.9801366329193115 239 174 31
-4.4062733650207520 4.0621871948242188 -3.3887712955474854 239 174 31
-4.3700051307678223 4.0394706726074219 -3.4148998260498047 239 174 31
-4.6417865753173828 4.1132750511169434 -3.3262951374053955 239 174 31
-4.2486705780029297 4.0235567092895508 -3.2112462520599365 239 174 31
-4.6168532371520996 4.0331535339355469 -3.1903541088104248 239 174 31
-4.6574559211730957 4.0910167694091797 -3.1293823719024658 239 174 31
-4.5653119087219238 4.0551261901855469 -3.1919186115264893 239 174 31
-4.6613926887512207 4.0829386711120605 -3.2526433467864990 239 174 31
-4.4500312805175781 4.2841267585754395 -2.7971398830413818 239 174 31
-4.6831507682800293 4.5631723403930664 -2.7711291313171387 239 174 31
-4.4356060028076172 4.0694966316223145 -2.6386723518371582 239 174 31
-4.6852169036865234 4.3588352203369141 -3.4490783214569092 239 174 31
-4.5108428001403809 4.0915346145629883 -3.1545579433441162 239 174 31
-4.6100907325744629 4.0607843399047852 -3.1774520874023438 239 174 31
-4.5358510017395020 4.0958247184753418 -3.2955801486968994 239 174 31
-4.5623788833618164 4.0949249267578125 -3.2334048748016357 239 174 31
-4.5023264884948730 4.3516964912414551 -3.2361278533935547 239 174 31
-4.5877137184143066 4.1768240928649902 -3.2749359607696533 239 174 31
-4.6116008758544922 4.1290440559387207 -3.2997546195983887 239 174 31
-4.2075123786926270 4.1290254592895508 -3.1354219913482666 239 174 31
-4.5103416442871094 3.9981212615966797 -3.1726217269897461 239 174 31
-4.2297902107238770 3.5872216224670410 -2.6190941333770752 239 174 31
-4.2969532012939453 4.0025544166564941 -3.0354669094085693 239 174 31
-4.2676200866699219 4.0962491035461426 -3.2263948917388916 239 174 31
-4.6109733581542969 4.2854623794555664 -2.9700114727020264 239 174 31
-4.3220028877258301 3.8759808540344238 -2.6279983520507813 239 174 31
-4.5145225524902344 4.1922821998596191 -2.9599409103393555 239 174 31
-4.5430922508239746 3.9717838764190674 -3.0961165428161621 239 174 31
-4.5221896171569824 4.1926188468933105 -2.7345774173736572 239 174 31
-4.4047393798828125 4.0286755561828613 -3.2024295330047607 239 174 31
-4.4910864830017090 4.1716599464416504 -2.8468792438507080 239 174 31
-4.5034480094909668 3.8732101917266846 -2.8377981185913086 239 174 31
-4.6199769973754883 4.0828166007995605 -2.9461114406585693 239 174 31
-4.2407441139221191 4.0270485877990723 -2.9223618507385254 239 174 31
-4.2013659477233887 4.1969695091247559 -3.0680792331695557 239 174 31
-4.4945454597473145 4.3655829429626465 -3.2545990943908691 239 174 31
-4.2232851982116699 4.2219829559326172 -3.0773999691009521 239 174 31
-4.5584855079650879 4.0969481468200684 -3.4411656856536865 239 174 31
-4.7538390159606934 4.2690410614013672 -3.2089078426361084 239 174 31
-4.2481026649475098 4.2196607589721680 -3.0521740913391113 239 174 31
-4.5283145904541016 4.0954999923706055 -2.6988258361816406 239 174 31
-4.6469974517822266 4.1359491348266602 -3.0099422931671143 239 174 31
-4.5929803848266602 4.0649652481079102 -3.2612965106964111 239 174 31
-4.4235167503356934 4.1042861938476563 -2.7226073741912842 239 174 31
-4.3882541656494141 4.1244926452636719 -3.2793684005737305 239 174 31
-4.2885341644287109 4.1305685043334961 -3.2268295288085938 239 174 31
-4.6906390190124512 4.1750173568725586 -3.0853800773620605 239 174 31
-4.5446586608886719 3.8776023387908936 -2.8526434898376465 239 174 31
-4.5217061042785645 4.1091179847717285 -2.7583143711090088 239 174 31
-4.5508298873901367 4.2600288391113281 -2.9602274894714355 239 174 31
-4.1480722427368164 3.8035585880279541 -2.9772458076477051 239 174 31
-4.5538725852966309 4.0073986053466797 -2.8630123138427734 239 174 31
-4.6848440170288086 4.1242074966430664 -3.1579418182373047 239 174 31
-4.2775487899780273 4.1511950492858887 -3.1903131008148193 239 174 31
-4.6125454902648926 4.1333465576171875 -2.9390237331390381 239 174 31
-4.2262043952941895 4.0080976486206055 -3.3039245605468750 239 174 31
-4.6004080772399902 4.1654782295227051 -3.0520360469818115 239 174 31
-4.2450175285339355 4.2141799926757813 -3.2750890254974365 239 174 31
-4.2280774116516113 4.1679329872131348 -3.1795573234558105 239 174 31
-4.4158186912536621 4.1761112213134766 -3.3115754127502441 239 174 31
-4.4491910934448242 4.2075481414794922 -3.1105735301971436 239 174 31
-4.2679615020751953 4.1790447235107422 -3.2333855628967285 239 174 31
-4.2774920463562012 4.1549263000488281 -3.1355905532836914 239 174 31
-4.4768357276916504 4.0892148017883301 -3.5627684593200684 239 174 31
-4.6119747161865234 4.1364917755126953 -2.8912346363067627 239 174 31
-4.5607542991638184 4.2884373664855957 -3.0764718055725098 239 174 31
-4.4308791160583496 4.0894455909729004 -3.0190601348876953 239 174 31
-4.5398359298706055 4.1076712608337402 -3.2662277221679688 239 174 31
-4.2434968948364258 4.2343821525573730 -3.0277040004730225 239 174 31
-4.2182092666625977 4.2048273086547852 -3.1078960895538330 239 174 31
-4.2548360824584961 3.9907763004302979 -3.2064619064331055 239 174 31
-4.5236358642578125 4.0845685005187988 -2.9859516620635986 239 174 31
-4.6327595710754395 4.1486425399780273 -3.1170299053192139 239 174 31
-4.3980374336242676 4.0158371925354004 -3.3874192237854004 239 174 31
-4.6121578216552734 4.6875014305114746 -3.0685963630676270 239 174 31
-4.3903350830078125 4.1125059127807617 -3.2991878986358643 239 174 31
-4.4968070983886719 4.0135202407836914 -2.6833105087280273 239 174 31
-4.5372271537780762 4.1893162727355957 -3.4071681499481201 239 174 31
-4.3073921203613281 3.9920141696929932 -3.2654461860656738 239 174 31
-4.2487106323242188 4.2000699043273926 -3.2262308597564697 239 174 31
-4.4292950630187988 4.1275725364685059 -2.7166652679443359 239 174 31
-4.3494195938110352 4.1176061630249023 -3.4488103389739990 239 174 31
-4.6107950210571289 4.1710696220397949 -3.0466096401214600 239 174 31
-4.4905982017517090 4.1163578033447266 -2.9330391883850098 239 174 31
-4.3410577774047852 4.1303014755249023 -3.4311094284057617 239 174 31
-4.3860645294189453 4.0975732803344727 -3.2125265598297119 239 174 31
-4.4511294364929199 4.1409764289855957 -3.1570453643798828 239 174 31
-4.4614653587341309 4.2376432418823242 -3.4340028762817383 239 174 31
-4.6684765815734863 4.1248598098754883 -3.0275771617889404 239 174 31
-4.2185444831848145 3.8606333732604980 -3.0422418117523193 239 174 31
-4.5305662155151367 4.0811333656311035 -2.6045355796813965 239 174 31
-4.5803480148315430 4.2020869255065918 -2.8040816783905029 239 174 31
-4.5567188262939453 3.9777882099151611 -3.0763485431671143 239 174 31
-4.6311783790588379 4.0896897315979004 -3.1945374011993408 239 174 31
-4.6505327224731445 4.3686275482177734 -3.0279626846313477 239 174 31
-4.4683613777160645 4.1808996200561523 -2.7990055084228516 239 174 31
-4.3732733726501465 3.7446146011352539 -2.5452070236206055 239 174 31
-4.4520902633666992 4.1437506675720215 -3.3832850456237793 239 174 31
-4.5028181076049805 4.2482500076293945 -3.5203390121459961 239 174 31
-4.2096157073974609 3.8913686275482178 -3.1439340114593506 239 174 31
-4.4718494415283203 4.0049452781677246 -3.5200450420379639 239 174 31
-4.2831115722656250 4.2416214942932129 -3.3579907417297363 239 174 31
-4.5102434158325195 4.1349291801452637 -2.7331776618957520 239 174 31
